project,bug_id,file_name,line_no,rank_best_trace,tie_size_trace,rank_best_slice,tie_size_slice,nearest_line_diff_trace,nearest_line_diff_slice,diff_best_trace,diff_tie_trace,diff_best_slice,diff_tie_slice,diff_reason_trace,diff_reason_slice,unanswerable_reason
Cli,1b,CommandLine.java,298,301,271,None,None,0,-11,already_found,already_found,3,119,succeed,succeed,
Cli,1b,CommandLine.java,308,None,None,None,None,-10,-21,301,271,3,119,succeed,succeed,live_line_never_executed
Cli,1b,CommandLine.java,316,None,None,None,None,-18,-29,301,271,3,119,succeed,succeed,live_line_never_executed
Cli,2b,PosixParser.java,305,28,58,None,None,0,-272,already_found,already_found,1,3,succeed,succeed,
Cli,2b,PosixParser.java,309,None,None,None,None,-4,-276,28,58,1,3,succeed,succeed,live_line_never_executed
Cli,3b,TypeHandler.java,25,None,None,None,None,23,None,1,260,None,None,succeed,project_test_scenario,live_line_never_executed
Cli,3b,TypeHandler.java,162,1,260,None,None,0,None,already_found,already_found,None,None,succeed,pipeline_gap,
Cli,4b,Parser.java,298,1,33,None,None,0,-3,already_found,already_found,1,71,succeed,succeed,
Cli,5b,Util.java,36,94,1,9,98,0,0,already_found,already_found,already_found,already_found,succeed,succeed,
Cli,7b,PatternBuilder.java,19,None,None,None,None,27,27,1,285,2,140,succeed,succeed,live_line_never_executed
Cli,7b,PatternBuilder.java,21,None,None,None,None,25,25,1,285,2,140,succeed,succeed,dead_code_never_executed
Cli,7b,PatternBuilder.java,67,1,285,2,140,0,0,already_found,already_found,already_found,already_found,succeed,succeed,
Cli,8b,HelpFormatter.java,812,39,38,1,12,0,0,already_found,already_found,already_found,already_found,succeed,succeed,
Cli,9b,Parser.java,317,11,8,None,None,0,5,already_found,already_found,9,78,succeed,succeed,
Cli,9b,Parser.java,322,11,8,9,78,0,0,already_found,already_found,already_found,already_found,succeed,succeed,
Cli,10b,Parser.java,19,None,None,None,None,14,None,242,18,None,None,succeed,project_test_scenario,dead_code_never_executed
Cli,10b,Parser.java,46,242,18,None,None,0,None,already_found,already_found,None,None,succeed,pipeline_gap,
